Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
INMT	-3.16909554515624	5.51634471663506	-6.77252805939668	1.96718645898972e-07	2.63918313551125e-05	7.20205147138306
C7	-3.13100788573282	7.39625375209765	-6.53563842592425	3.7169101865961e-07	3.97371489039729e-05	6.58682760141727
FCN2	-3.09480829795736	5.47293996520464	-11.9961899479186	9.2108962163843e-13	1.28914221176153e-08	18.8520357555868
MT1G	-3.07761697325889	8.94635900141344	-9.11198852220206	5.23899119959847e-10	5.55264540545827e-07	12.8975580065903
IGJ	-3.05282466503677	7.14772207572445	-4.30886955441777	0.000172148051940561	0.00327139020826211	0.660836619195679
ANXA10	-3.04634573332289	7.31400221139125	-8.04197987769145	7.23841702449046e-09	2.69027957679189e-06	10.3853283786968
FAM65C	-3.03251640225841	4.26283869877042	-9.78291733918634	1.0902346886579e-10	2.33111998883944e-07	14.3881160791006
FOS	-3.03168250783122	8.32128306475439	-8.59360879591392	1.83479733071254e-09	9.80782573144522e-07	11.7010344196352
NPY1R	-2.99258980851452	4.70840800201577	-6.54758584251379	3.59904806574342e-07	3.86527901855184e-05	6.61799284435687
BBOX1	-2.98804477337656	5.39357192440013	-6.07449058967446	1.30187877716481e-06	9.27884510270194e-05	5.37403840162577
ZG16	-2.97765171198525	4.98649833133494	-5.38808439758894	8.64542663228814e-06	0.000359082154186209	3.54252630085673
MFAP4	-2.97626707170055	4.42831014828498	-4.96020630990903	2.83761983396273e-05	0.000855651519164146	2.39474778025056
CYP26A1	-2.97053350130121	4.41598436369681	-5.08064466394938	2.03047811903161e-05	0.00067074221010707	2.71770344323788
CFHR4	-2.94792440848258	9.65985161916213	-5.05808731621104	2.16183994967196e-05	0.00070424481462998	2.65719536722074
CETP	-2.94677922722236	5.94926574039158	-5.7169025064488	3.47966565514544e-06	0.000188575429053043	4.42270770508102
LINC01093	-2.94033200054681	5.77610800560814	-6.61234897765669	3.02296144662452e-07	3.41827178964465e-05	6.78668278913198
CYP2B6	-2.93740819550646	6.64297594584937	-7.32288637289193	4.59072500857133e-08	9.81580474559979e-06	8.60716691023626
C9	-2.9275517092911	9.45671193248823	-5.99028892790239	1.6397471226095e-06	0.000108945910519139	5.15075189319753
PPBP	-2.90586197879747	2.54387096322711	-4.34338824428326	0.000156557762763172	0.00303815064372096	0.751829104446453
CYP8B1	-2.88957286762537	9.17074594960017	-5.56571443169314	5.28473589139386e-06	0.000252636154808097	4.01846506108511
IGH /// IGHA1 /// IGHA2	-2.88557079964024	9.05118199897558	-4.10523738279012	0.000300684919069084	0.00487059868905292	0.127177859382357
